No.,자음그룹,한자,대표훈음,원획수,뜻풀이(원문),자원오행,원본페이지,비고
2911,"률,율",溧,강이름 률(율),14,"강 이름, 물 이름, 모래성.",水,123,옥편13획
2912,"률,율",慄,떨릴 률(율),14,"떨리다, 오싹하다, 소름이 끼치다. 찢어지다, 슬퍄하다, 비통해 하다.",火,285,옥편 13획
2913,"률,율",溧,강이름 률(율),14,"강 이름, 물 이름, 모래성.",水,285,옥편 13획
2914,"률,율",瓅,옥무늬 률(율),15,"옥 무늬, 옥을 벌여 놓은 것 같이. 옥을 벌여 놓은 것 같이 아름답다.",金,123,옥편14획
2915,"률,율",瓅,옥무늬 률(율),15,옥 무늬. 옥을 벌여 놓은 것 같이. 옥을 벌여 놓은 것 같이 아름답다.,金,285,옥편 14획
2916,"률,율",𥠲,볏가리 률,15,률. 율. 볏가리 률(율),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
2917,륭,㦕,뜻 륭,16,륭. 뜻 륭(융),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
2918,"륭,융",隆,높을 륭(융),17,"높이다, 높다, 두텁다, 후하다. 성대하다, 왕성하다.",土,123,옥편12획
2919,"륭,융",窿,활꼴 륭(융),17,"활꼴, 하늘이 활처럼 휜 모양.",土,123,
2920,"륭,융",癃,맥풀릴 륭(융),17,"맥 풀리다, 느른하다 위독하다, 늙다. 곱사등이.",水,123,
2921,"륭,융",隆,높을 륭(융),17,"높이다, 높다, 두텁다, 후하다. 성대하다, 왕성하다.",土,285,옥편 12획
2922,"륭,융",窿,활꼴 륭(융),17,"활꼴, 하늘이 활처럼 휜 모양.",土,285,
2923,륵,玏,옥돌 륵,7,옥다름가는돌. 옥돌 륵(늑),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
2924,"륵,늑,근",肋,갈빗대 륵(늑)/근,8,"갈빗대, 늑골. 힘줄 근.",水,123,옥편6획
2925,"륵,늑",泐,새길 륵(늑),9,"새기다, 글씨를 쓰다, 돌이 갈라지다. 돌이 부서지다, 쓸다.",水,123,옥편8획
2926,"륵,늑",勒,굴레 륵(늑),11,"굴레, 재갈, 묶다, 졸라매다. 다스리다, 정돈하다, 강제하다.",土,123,
2927,"름,늠",菻,쑥 름(늠),11,"산 이름, 산 모양, 산이 험하다.",土,123,
2928,"름,늠",凜,늠름할 름(늠),15,"늠름하다, 꼿꼿하고 의젓하다, 춥다. 차다, 두려워하다. 凛의 本字",水,123,
2929,"름,늠",凛,늠름할 름(늠),15,"늠름하다, 꼿꼿하고 의젓하다, 춥다. 차다, 두려워하다.",水,124,凜의 일본식 한자
2930,"름,늠",廩,쌓을 름(늠),16,"쌓다, 창고, 곳집, 녹봉으로 받는 쌀. 다스리다, 엄숙하다, 풍채가 있다.",木,124,넘칠 람
2931,"름,늠",懍,서늘할 름(늠),17,"서늘하다, 차다.",水,124,옥편16획
2932,름,澟,서늘할 름,18,서늘할 름. 서늘할 름(늠),水,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
2933,릉,蔆,마름 릉,19,마름 릉. 마름 릉(능),木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
2934,"리,이",吏,관원 리(이),6,"관리, 관원, 벼슬아치, 아전. 벼슬살이를 하다.",水,124,
2935,"리,이",吏,관원 리(이),6,"관리, 관원, 벼슬아치, 아전. 벼슬살이를 하다.",水,290,
2936,"리,이",李,오얏 리(이),7,"오얏, 자두, 자두나무, 심부름꾼. 벼슬아치, 별 이름, 성씨.",木,124,
2937,"리,이",里,마을 리(이),7,"마을, 고향, 이웃, 인근, 속, 내면. 이미, 벌써, 헤아리다, 근심하다.",土,124,
2938,"리,이",利,이로울 리(이),7,"이롭다, 유익하다, 편리하다, 통하다. 이롭게 하다, 이익, 승전, 날카롭다.",金,124,
2939,"리,이",里,마을 리(이),7,"마을, 고향, 이웃, 인근, 속, 내면. 이미, 벌써, 헤아리다, 근심하다.",土,290,
2940,"리,이",利,이로울 리(이),7,"이롭다, 유익하다, 편리하다, 통하다. 이롭게 하다, 이익, 승진, 날카롭다.",金,290,
2941,"리,이",俐,똑똑할 리(이),9,"똑똑하다, 영리하다.",火,124,
2942,"리,이",俚,시골 리(이),9,"시골, 촌, 촌스럽다, 속되다, 속요. 부탁하다, 의뢰하다.",火,124,
2943,"리,이",厘,다스릴 리(이),9,"다스리다, 정리하다, 개정하다, 주다. 가게 전, 점포 전, 집터 전.",土,124,
2944,"리,이",俐,영리할 리(이),9,"똑똑하다, 영리하다.",火,291,
2945,"리,이",俚,부탁할 리(이),9,"시골, 촌, 촌스럽다, 속되다, 속요. 부탁하다, 의뢰하다.",火,291,
2946,"리,이",厘,다스릴 리(이),9,"다스리다, 정리하다, 개정하다, 주다. 가게 전, 점포 전, 집터 전.",土,291,
2947,"리,이",哩,어조사 리(이),10,"어조사, 거리를 나타내는 단위. 마일(mile).",水,124,
2948,"리,이",唎,소리 리(이),10,"소리, 가는 소리, 작은 소리.",水,124,
2949,"리,이",哩,어조사 리(이),10,"어조사, 거리를 나타내는 단위. 마일(mile).",水,291,
2950,"리,이",喱,소리 리(이),10,"소리, 가는 소리, 작은 소리.",水,291,
2951,리,娌,동서 리,10,동서. 동서 리(이),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
2952,"리,이",梨,배나무 리(이),11,"배, 배 나무, 나누다, 분할하다, 찢다. 많은, 쪼개다, 가르다, 따르다, 쫓다.",木,125,
2953,"리,이",悧,영리할 리(이),11,"영리하다, 악다.",火,125,
2954,"리,이",离,산신 리(이),11,"산신, 산에 사는 신령스런 짐승, 성씨. 만나다, 떠나다, 흩어지다, 잃다, 겪다",火,125,
2955,"리,이,려,여,류,유",犁,"밭갈 리(이)/려,여,류,유",11,"밭 갈다, 밝게 살피다, 얼룩소, 쟁기. 검다, 분별력. 밭갈려(여), 떨류(유).",土,125,
2956,"리,이,려,여,류,유",犂,"밭갈 리(이)/려,여,류,유",11,"밭 갈다, 밝게 살피다, 얼룩소, 쟁기. 검다, 분별력. 밭갈려(여), 떨류(유).",土,125,犁와 同字
2957,"리,이,매",狸,삵 리(이)/매,11,"삵, 살쾡이, 너구리, 성씨, 죽이다. 묻을 매, 매장할 매.",土,125,옥편10획
2958,"리,이",浬,해리 리(이),11,"해리, 바다의 거리를 재는 단위. 1해리:1,825미터.",水,125,옥편10획
2959,"리,이",涖,다다를 리(이),11,"다다르다, 임하다, 보다. 물 소리.",水,125,옥편10획
2960,"리,이",梨,배나무 리(이),11,"배, 배 나무, 나누다, 분할하다, 찢다. 많은, 쪼개다, 가르다, 따르다, 쫓다.",木,291,
2961,"리,이",悧,영리할 리(이),11,"영리하다, 악다.",火,292,
2962,"리,이",离,산신 리(이),11,"산신, 산에 사는 신령스런 짐승, 성씨. 만나다, 떠나다, 흩어지다, 잃다, 겪다",火,292,
2963,"리,이,려,여,류,유",犁,"밭갈 리(이)/려,여,류,유",11,"밭 갈다, 밝게 살피다, 얼룩소, 쟁기. 검다, 분별력, 밭갈 려(여), 떨 류(유).",土,292,
2964,"리,이,려,여,류,유",犂,"밭갈 리(이)/려,여,류,유",11,"밭 갈다, 밝게 살피다, 얼룩소, 쟁기. 검다, 분별력, 밭갈 려(여), 떨 류(유).",土,292,犁와 同字
2965,"리,이,매",狸,삵 리(이)/매,11,"삵, 살괭이, 너구리, 성씨, 죽이다. 묻을 매, 매장할 매.",土,292,옥편 10획
2966,"리,이",浬,해리 리(이),11,"해리, 바다의 거리를 재는 단위. 1 해리 : 1,825 미터.",水,292,옥편 10획
2967,"리,이",涖,다다를 리(이),11,"다다르다, 임하다, 보다. 물 소리.",水,292,옥편 10획
2968,"리,이",理,다스릴 리(이),12,"다스리다, 도리, 이치, 학문, 과목. 사리, 깨닫다, 의뢰하다, 수선하다.",金,125,옥편11획
2969,"리,이",痢,설사 리(이),12,"설사, 이질. 곱똥-곱이 섞여 나오는 똥.",水,125,
2970,"리,이",理,다스릴 리(이),12,"다스리다, 도리, 이치, 학문, 과목. 사리, 깨닫다, 의뢰하다, 수선하다.",金,292,옥편 11획
2971,"리,이",痢,설사 리(이),12,"설사, 이질. 곱동-곱이 섞여 나오는 똥.",水,292,
2972,"리,이",莉,말리 리(이),13,"말리, 자스민.",木,125,옥편11획
2973,"리,이",苙,다다를 리(이),13,"다다르다, 지위, 녹. 수목이 바람에 흔들리는 소리",木,125,옥편11획
2974,"리,이",裏,속 리(이),13,"속 내부, 가운데, 뱃속, 속마음 충심. 태, 모태, 곳, 장소, 다스려지다.","木,土,水",125,
2975,"리,이",裡,속 리(이),13,"속, 내부, 가운데, 뱃속 속마음 충심. 태, 모태, 곳, 장소, 다스려지다.",木,125,옥편12획
2976,"리,이",剺,나눌 리(이),13,"나누다, 가르다, 구획하다. 가르다, 벗기다, 칼로 베다.",金,125,
2977,"리,이",蜊,새조개 리(이),13,"새조개, 참조개, 바지락.",水,125,
2978,"리,이",莅,다다를 리(이),13,"다다르다, 지위, 녹. 수목이 바람에 흔들리는 소리",木,292,옥편 11획
2979,"리,이",莉,말리 리(이),13,"말리, 자스민.",木,293,옥편 11획
2980,"리,이",裏,속 리(이),13,"속, 내부, 가운데, 뱃속, 속마음, 충심. 태, 모태, 곳, 장소, 다스려지다.",木,293,
2981,"리,이",裡,속 리(이),13,"속, 내부 가운데, 뱃속, 속마음, 충심. 태, 모태, 곳, 장소, 다스려지다.",木,293,옥편 12획
2982,"리,이",剺,나눌 리(이),13,"나누다, 가르다, 구획하다. 가르다, 벗기다, 칼로 베다.",金,293,
2983,"리,이",蜊,새조개 리(이),13,"새조개, 참조개, 바지락.",水,293,
2984,"리,이",嫠,과부 리(이),14,"과부, 홀어머니.",土,125,
2985,"리,이",貍,삵 리(이),14,"삵, 살쾡이, 너구리, 죽이다, 성씨. 매장할 매.",土,125,
2986,"리,이",貍,삵 리(이),14,"삵, 살괭이, 너구리, 죽이다, 성씨. 매장할 매.",土,293,
2987,"리,이",嫠,과부 리(이),14,"과부, 홀어머니.",土,293,
2988,"리,이",摛,퍼질 리(이),15,"퍼지다, 널리 알려지다, 표현하다. 글을 짓다.",木,125,옥편14획
2989,"리,이",履,밟을 리(이),15,"밟다, 신다, 신, 신발, 겪다, 행하다. 복, 복록, 행실, 지위에 오르다, 영토",木,125,
2990,"리,이",漓,흐를 리(이),15,"흐르다, 스며들다, 엷다.",水,126,옥편14획
2991,"리,이",摛,퍼질 리(이),15,"퍼지다, 널리 알려지다, 표현하다. 글을 짓다.",木,293,옥편 14획
2992,"리,이",履,밟을 리(이),15,"밟다, 신다, 신, 신발, 겪다, 행하다. 복, 복록, 행실, 지위에 오르다, 영토.",木,293,
2993,"리,이",漓,흐를 리(이),15,"흐르다, 스며들다, 엏다.",水,293,옥편 14획
2994,"리,이",璃,유리 리(이),16,"유리, 구슬 이름.",金,126,옥편15획
2995,"리,이",璃,유리 리(이),16,"유리, 구슬 이름.",金,293,옥편 15획
2996,"리,이",𢻠,바를 리,16,리. 이. 바를 리(이),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
2997,"리,이",罹,걸릴 리(이),17,"병에 걸리다, 앓다, 근심하다, 근심.",木,126,옥편16획
2998,"리,이",螭,교룡 리(이),17,"교룡, 뿔 없는 용, 용의 새끼. 용의 암컷, 맹수의 이름.",水,126,
2999,"리,이",罹,근심 리(이),17,"병에 걸리다, 앓다, 근심하다, 근심.",木,293,옥편 16획
3000,"리,이",螭,교룡 리(이),17,"교룡, 뿔 없는 용, 용의 새끼. 용의 암컷, 맹수의 이름.",水,294,
3001,"리,이",釐,다스릴 리(이),18,"다스리다 정리하다 개정하다, 작은 수. 행복 희, 보리 래, 땅이름 태.",土,126,
3002,"리,이",鯉,잉어 리(이),18,"잉어. 편지, 서찰.",水,126,
3003,"리,이",釐,다스릴 리(이),18,"다스리다, 정리하다, 개정하다, 작다. 행복 희, 경사 희, 보리 래. 땅이름 태",土,294,
3004,"리,이",鯉,잉어 리(이),18,"잉어. 편지, 서찰.",水,294,
3005,"리,이",離,밝을 리(이),19,"밝다, 떠나다, 이별하다, 흩어지다. 갈라지다, 만나다, 잃다, 교룡 치.",火,126,
3006,"리,이",羸,파리할 리(이),19,"파리하다, 핏기가 없다, 고달프다. 지치다, 악하다, 괴로워하다.",土,126,
3007,"리,이",離,밝을 리(이),19,"밝다, 떠나다, 이별하다, 흩어지다. 갈라지다, 만나다, 잃다, 교룡 치.",火,294,
3008,"리,이",羸,파리할 리(이),19,"파리하다, 핏기가 없다, 고달프다. 지치다, 약하다, 괴로워하다.",土,294,
3009,"리,이,치",魑,도깨비 리(이)/치,21,"도깨비, 산의 요괴. 도깨비 치.",火,126,
3010,"리,이,치",魑,도깨비 리(이)/치,21,"도깨비, 산의 요괴. 도깨비 치.",火,294,
3011,"리,려",孋,나라 이름 리,22,나라이름. 나라 이름 리(이). 짝 려(여),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
3012,"리,이",縭,끈끈이 리(이),23,끈끈이. 새 잡는 풀.,木,126,
3013,"리,이",黐,끈끈이 리(이),23,끈끈이. 새 잡는 풀.,木,294,
3014,"리,이",籬,울타리 리(이),25,"울타리, 대나무, 대 조리.",木,126,
3015,"리,이",籬,울타리 리(이),25,"울타리, 대나무, 대 조리.",木,294,
3016,"리,이",邐,이을 리(이),26,"이어지다, 줄지어 가는 모양.",土,126,옥편23획
3017,"리,이",邐,이을 리(이),26,"이어지다, 줄지어 가는 모양.",土,294,옥편 23획
3018,"리,려",鸝,꾀꼬리 리,30,꾀꼬리. 꾀꼬리 리(이). 꾀꼬리 려(여),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
3019,"린,인",吝,아낄 린(인),7,"아끼다, 소중히 여기다, 인색하다. 주저하다.",水,126,
3020,"린,인",吝,아낄 린(인),7,"아끼다, 소중히 여기다, 인색하다. 주저하다.",水,295,
3021,"린,인",悋,아낄 린(인),11,"아끼다, 소중히 여기다, 인색하다. 주저하다.",火,126,옥편10획
3022,"린,인",恪,아낄 린(인),11,"아끼다, 소중히 여기다, 인색하다. 주저하다.",火,296,옥편 10획
3023,"린,인",粦,반딧불 린(인),12,"반딧불, 빛이 번쩍이다, 도깨비불. 인-화학 원소.",木,126,
3024,"린,인",粦,반딧불 린(인),12,"반딧불, 빛이 번쩍이다, 도깨비 불. 인-화학 원소.",木,296,
3025,린,焛,불꽃 린,12,불꽃. 불꽃 린(인),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
3026,"린,인",潾,물맑을 린(인),14,"물 맑다, 냇물의 모양. 속이 꽉 찬 대나무.","木,水",126,
3027,"린,인",潾,물맑을 린(인),14,"물 맑다, 냇물의 모양. 속이 꽉 찬 대나무.","木,水",296,
3028,"린,인",嶙,높이솟을 린(인),15,"높이 솟다, 강직하다, 산이 가파르다. 산이 깊숙하다, 산이 험준하다.",土,126,
3029,"린,인",嶙,강직할 린(인),15,"높이 솟다, 강직하다, 산이 가파르다. 산이 깊숙하다, 산이 험준하다.",土,297,
3030,"린,인",撛,빼어날 린(인),16,"빼어나다, 구원하다, 붙들다. 산이 깊숙하다, 산이 험준하다.",木,126,옥편15획
3031,"린,인",橉,문지방 린(인),16,"나무 이름, 문지방.",木,126,
3032,"린,인",燐,반딧불 린(인),16,"반딧불, 빛이 번쩍이다, 도깨비불. 인-화학 원소",火,126,
3033,"린,인",獜,튼튼할 린(인),16,"튼튼하다, 건장하다, 기린, 암키린. 큰 사슴의 수컷.",土,127,옥편15획
3034,"린,인",潾,맑을 린(인),16,"맑다, 물이 맑다, 물결이 반짝이다. 돌 샘, 석간수.",水,127,옥편15획
3035,"린,인",撛,빼어날 린(인),16,"빼어나다, 구원하다, 붙들다. 산이 깊숙하다, 산이 험준하다.",木,297,옥편 15획
3036,"린,인",橉,문지방 린(인),16,"나무 이름, 문지방.",木,297,
3037,"린,인",燐,반딧불 린(인),16,"반딧불, 빛이 번쩍이다, 도깨비 불. 인-화학 원소",火,297,
3038,"린,인",獜,튼튼할 린(인),16,"튼튼하다, 건장하다, 기린, 암키린. 큰 사슴의 수컷.",土,297,옥편 15획
3039,"린,인",潾,맑을 린(인),16,"맑다, 물이 맑다, 물결이 반짝이다. 돌 샘, 석간수.",水,297,옥편 15획
3040,린,斴,물소리 린,16,돌사이로흐르는 물소리. 물소리 린(인),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
3041,린,閵,새 이름 린,16,밟을. 새 이름 린(인). 밟을 린(인),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
3042,린,暽,사람 이름 린,16,사람이름. 사람 이름 린(인),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
3043,"린,인",璘,옥빛 린(인),17,"옥빛, 옥의 광채, 옥의 모양. 무늬가 있는 모양.",金,127,옥편16획
3044,"린,인",磷,얇은돌 린(인),17,"얇은 돌, 돌틈으로 물이 흐르는 모양. 험하다.",金,127,
3045,"린,인",璨,옥빛 린(인),17,"옥빛, 옥의 광채, 옥의 모양. 무늬가 있는 모양.",金,297,옥편 16획
3046,"린,인",磷,얇은돌 린(인),17,"얇은 돌, 돌 틈으로 물이 흐르는 모양. 헝하다.",金,297,
3047,"린,인",𪊭,기린 린,17,린. 인. 기린 린(인),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
3048,"린,인",綝,이을 린(인),18,"잇다, 실 뽑다.",木,127,
3049,"린,인",燐,반딧불 린(인),18,반딧불.,水,127,
3050,"린,인",繗,이을 린(인),18,"잇다, 실 뽑다.",木,297,
3051,"린,인",⿰虫粦,반딧불 린(인),18,반딧불.,水,297,"이체자, 유니코드 미상 / 원본 자형 표기"
3052,"린,인",䗲,반딧불이 린,18,린. 인. 반딧불이 린(인),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
3053,"린,인",轔,바퀴 린(인),19,"바퀴, 밟다, 수레 소리. 은성한 모양.",火,127,
3054,"린,인",隣,이웃 린(인),19,"이웃 이웃한 사람, 인접한, 근접하다. 이웃하다, 보필하다, 수레 소리.",土,127,옥편15획
3055,"린,인",轥,바퀴 린(인),19,"바퀴, 밟다, 수레 소리. 은성한 모양.",火,297,
3056,"린,인",鄰,이웃 린(인),19,"이웃, 이웃한 사람, 인접한, 근접하다. 이웃하다, 보필하다, 수레 소리.",土,297,옥편 15획
3057,"린,인",鄰,이웃 린(인),20,"이웃 이웃한 사람, 인접한, 근접하다. 이웃하다, 보필하다, 수레 소리.",土,127,옥편15획
3058,"린,인",鏻,굳셀 린(인),20,"굳세다, 굳센 모양.",金,127,
3059,"린,인",隣,이웃 린(인),20,"이웃, 이웃한 사람, 인접한, 근접하다. 이웃하다, 보필하다, 수레 소리.",土,298,옥편 15획
3060,"린,인",鏻,굳셀 린(인),20,"굳세다, 굳센 모양.",金,298,
3061,"린,인",藺,골풀 린(인),22,"골풀, 꽃 창포, 등심초.",木,127,옥편20획
3062,"린,인",驎,얼룩말 린(인),22,"얼룩말, 화마, 입 근처가 검은 말. 둥글고 어룽어룽한 무늬가 박힌 말.",火,127,
3063,"린,인",藺,골풀 린(인),22,"골풀, 꽃 창포, 등심초.",木,298,옥편 20획
3064,"린,인",驎,얼룩말 린(인),22,"얼룩말, 화마, 입 근처가 검은 말. 둥글고 어롱어롱한 무늬가 박힌 말.",火,298,
3065,"린,인",麟,기린 린(인),23,"기린, 암 기린, 큰 사슴의 수컷. 빛나는 모양, 기린아.",土,127,
3066,"린,인",躪,짓밟을 린(인),23,"짓밟다, 유린하다, 밟고 지나가다. 성가퀴-성 위에 낮게 쌓은 담.",土,127,躙과 同字
3067,"린,인",鱗,비늘 린(인),23,"비늘, 물고기, 어류. 비늘이 있는 동물.",水,127,
3068,"린,인",麟,기린 린(인),23,"기린, 암 기린, 큰 사슴의 수컷. 빛나는 모양, 기린아.",土,298,
3069,"린,인",躖,짓밟을 린(인),23,"짓밟다, 유린하다, 밟고 지나가다. 성가퀴-성 위에 낮게 쌓은 담.",土,298,躒과 同字
3070,"린,인",鱗,비늘 린(인),23,"비늘, 물고기, 어류. 비늘이 있는 동물.",水,298,
3071,"린,인",躙,짓밟을 린(인),27,"짓밟다, 유린하다, 밟고 지나가다. 수레바퀴 자국.",土,127,躪과 同字
3072,"린,인",躒,짓밟을 린(인),27,"짓밟다, 유린하다, 밟고 지나가다. 수레바퀴 자국.",土,298,躖과 同字
3073,"림,임",林,수풀 림(임),8,"수풀, 숲, 모임, 집단, 야외, 들. 임금, 군왕, 많다, 많은 모양.",木,127,
3074,"림,임",林,수풀 림(임),8,"수풀, 숲, 모임, 집단, 야외, 들. 임금, 군왕, 많다, 많은 모양.",木,299,
3075,"림,임",玲,옥이름 림(임),9,"옥 이름, 아름다운 옥, 푸른 옥. 옥이 부딪쳐 나는 소리. 옥 이름 감.",金,127,
3076,"림,임",玲,옥이름 림(임),9,"옥 이름, 아름다운 옥, 푸른 옥. 옥이 부딫쳐 나는 소리, 옥 이름 감.",金,299,옥편 8획
3077,"림,임",琹,무성할 림(임),12,"무성하다, 우거지다, 뒤덮이다. 우거질 침.",木,127,
3078,"림,임",眎,알고자할 림(임),12,알고자 하다.,火,127,
3079,"림,임",淋,무성할 림(임),12,"무성하다, 장마, 물을 뿌리다, 젖다. 잠기다, 성하고 많다, 임질-성병.",木,128,옥편11획
3080,"림,임",荏,들깨 림(임),12,"부드럽다, 흐르다, 구르다, 천연하다. 들깨",木,299,옥편 10획
3081,"림,임",紝,짤 임(림),12,"짜다, 길쌈하다, 비단.",木,299,
3082,"림,임",菻,무성할 림(임),12,"무성하다, 우거지다, 뒤덮이다. 우거질 침.",木,299,
3083,"림,임",啉,알고자할 림(임),12,알고자 하다.,火,299,
3084,"림,임",淋,무성할 림(임),12,"무성하다, 장마, 물을 뿌리다, 젖다. 잠기다, 성하고 많다, 임질-성병.",木,299,옥편 11획
3085,"림,임",琳,푸른옥 림(임),13,"옥, 푸른 옥, 옥이 부딪쳐 나는 소리.",金,128,옥편12획
3086,"림,임",碄,깊을 림(임),13,깊다.,金,128,
3087,"림,임",痲,임질 림(임),13,"임질-성병. 산증, 대하증.",水,128,
3088,"림,임",稔,풍년들 임(림),13,"여물다, 쌓다, 풍년이 들다.",木,299,
3089,"림,임",訨,믿을 임(림),13,"믿다, 생각하다.",金,299,
3090,"림,임",琳,푸른옥 림(임),13,"옥, 푸른 옥, 옥이 부딫쳐 나는 소리.",金,299,옥편 12획
3091,"림,임",碄,깊을 림(임),13,깊다.,金,300,
3092,"림,임",痳,임질 림(임),13,"임질-성병. 산증, 대하증.",水,300,
3093,"림,임",霖,장마 림(임),16,"장마, 사흘 이상 계속 내리는 비. 비가 그치지 않는 모양.",水,128,
3094,"림,임",霖,장마 림(임),16,"장마, 사흘 이상 계속 내리는 비. 비가 그치지 않는 모양.",水,300,
3095,"림,임",臨,임할 림(임),17,"임하다, 다스리다, 통치하다, 밝히다. 내려다 보다, 대하다 뵙다, 공격하다.",火,128,돌러갈 설
3096,"림,임",臨,임할 림(임),17,"임하다, 다스리다, 통치하다, 밝히다. 내려다 보다, 대하다, 뵙다, 공격하다.",火,300,돌러갈 설.
3097,"립,입",立,설 립(입),5,"서다, 확고히 서다, 이루어지다, 즉시. 곧, 정해지다 즉위하다, 세우다, 바로",金,128,자리 위
3098,"립,입",立,설 립(입),5,"서다, 확고히 서다, 이루어지다, 즉시. 곧, 정해지다, 즉위하다, 세우다, 바로.",金,300,자리 위.
3099,"립,입",岦,우뚝할 립(입),8,"산이 우뚝하다, 산이 높다.",土,128,
3100,"립,입",岌,우뚝할 립(입),8,"산이 우뚝하다, 산이 높다.",土,300,
3101,"립,입",砬,돌소리 립(입),10,"돌 소리, 돌 무너지는 소리.",金,128,
3102,"립,입",硈,돌소리 립(입),10,"돌 소리, 돌 무너지는 소리.",金,300,
3103,"립,입",笠,삿갓 립(입),11,"삿갓, 구릿대. 갈매나무.",木,128,
3104,"립,입",粒,낟알 립(입),11,"낟알, 쌀 낟알, 쌀밥을 먹다.",木,128,
3105,"립,입",笠,삿갓 립(입),11,"삿갓, 구릿대. 갈매나무.",木,300,
3106,"립,입",粒,낟알 립(입),11,"낟알, 쌀 낟알, 쌀밥을 먹다.",木,300,
3107,마,馬,말 마,10,"말, 벼슬 이름, 크다 나라 이름 마한. 산가지-수효를 셈하는 가지, 성씨.",火,128,
3108,마,麻,삼 마,11,"삼, 참깨, 베옷을 일컫는 말. 조칙, 조서, 마비되다, 마비시키다.",木,128,
3109,"마,모",媽,어머니 마/모,13,"어머니, 할머니, 암말, 여자종. 어머니 모.",土,128,
3110,마,痲,저릴 마,13,"저리다, 마비되다. 마마꽃, 홍역.",水,128,
3111,"마,요",麼,작을 마/요,14,"작다, 잘다, 가늘다, 어둡다. 그윽하다, 하나, 한 점, 작을 요.",木,128,
3112,마,麽,작을 마,14,"작다, 소형, 사소함을 나타내는 뜻(옛 글자). 의문을 나타내는 어기조사나 합성어의 일부로 쓰임(什麽 등)",木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
3113,마,碼,마노 마,15,"마노, 야드, 나루터.",金,128,
3114,마,瑪,차돌 마,15,"차돌, 마노.",金,128,옥편14획
3115,마,摩,문지를 마,15,"문지르다, 갈다, 쓰다듬다, 어루만지다. 닳아없어지다, 줄다, 스치다, 고치다.",木,128,
3116,마,磨,갈 마,16,"갈다, 닳다, 닳아 없어지다, 문지르다. 고생하다, 짙차, 고생, 연자방아, 맷돌",金,128,
3117,마,螞,말거머리 마,16,"말거머리, 왕개미, 메뚜기.",水,129,
3118,마,蟇,두꺼비 마,17,두꺼비.,水,129,
3119,"마,미",劘,깎을 마/미,21,"깎다, 자르다, 베다, 닦다, 연마하다. 힘쓰다, 문지르다, 충고하다, 나눌 미.",金,129,
3120,마,魔,마귀 마,21,"마귀, 악마, 마술, 요술. (인이) 박이다.",火,129,
3121,"막,모,멱",莫,"없을 막/모,멱",13,"없다, 불가하다, 꾀하다, 편안하다. 조용하다, 드넓다, 저물 모, 덮을 멱.",木,129,옥편11획
3122,"막,만",幕,장막 막/만,14,"장막, 휘장, 덮다, 덮어가리다, 사막. 바르다, 칠하다, 화폐의 뒷면 만.",木,129,
3123,막,寞,고요할 막,14,"고요하다, 쓸쓸하다. 물욕이 없다.",木,129,
3124,막,瞙,어둘 막,15,어둡다.,火,129,
3125,막,漠,넓을 막,15,"넓다, 쓸쓸하다, 그윽하다, 조용하다. 소리가 잇다, 어둡다, 맑다, 사막 막.",水,129,옥편14획
3126,"막,모",膜,꺼풀 막/모,17,"꺼풀, 얇은 막, 사막, 어루만지다. 무릎을 꿇다, 막 막, 오랑케절 모",水,129,옥편15획
3127,막,鏌,칼이름 막,19,칼 이름.,金,129,
3128,막,邈,멀 막,21,"흘러가다, 멀다, 퍼지다, 아득하다. 근심하다, 업신여기다.",土,129,옥편18획
3129,만,万,일만 만,3,"일만, 매우 많은, 여럿, 많다. 대단히, 성의 하나, 현 이름.",木,129,
3130,만,卍,만자 만,6,만자. (부처의 가슴에 있는 길상의 표시),木,129,
